parcel_id,crop_code,crop_name,province,agri_zone,area_tier,area_mu,area_ha,area_m2,perimeter_m,compactness,machinery_suitability,dominant_purity,mean_confidence,center_lon,center_lat,center_utm_x,center_utm_y
P0086,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),726.31,48.4204,484204.4,11232.1,0.048,中/碎 (建议并块平整),0.955,0.577,-100.1143275,21.9635803,384943.57,2429214.32
P0087,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),726.31,48.4204,484204.4,8885.4,0.077,中/碎 (建议并块平整),0.991,0.463,-101.9813887,23.1710805,194753.39,2565585.36
P0088,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),724.96,48.3304,483304.4,11956.6,0.042,中/碎 (建议并块平整),0.989,0.523,-99.1169361,23.0696454,488022.36,2551234.31
P0089,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),724.96,48.3304,483304.4,11246.4,0.048,中/碎 (建议并块平整),0.713,0.587,-100.5303436,22.5339899,342621.55,2492739.68
P0090,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),724.96,48.3304,483304.4,10624.2,0.054,中/碎 (建议并块平整),0.978,0.513,-100.1098566,22.2055568,385600.35,2455998.28
P0091,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),724.96,48.3304,483304.4,4341.9,0.322,良 (基本适机),0.907,0.564,-100.7806071,22.4288924,316740.97,2481387.29
P0092,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),724.96,48.3304,483304.4,9924.4,0.062,中/碎 (建议并块平整),0.985,0.463,-101.8727069,22.4140621,204256.8,2481487.56
P0093,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),723.61,48.2404,482404.4,7550.8,0.106,中/碎 (建议并块平整),0.797,0.617,-99.8412783,22.3428185,413370.58,2471014.74
P0094,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),723.61,48.2404,482404.4,11679.1,0.044,中/碎 (建议并块平整),0.948,0.611,-99.8647971,21.6096235,410490.18,2389867.57
P0095,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),723.61,48.2404,482404.4,8170.0,0.091,中/碎 (建议并块平整),0.873,0.488,-101.671036,23.06767,226335.63,2553511.45
P0096,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),723.61,48.2404,482404.4,10871.9,0.051,中/碎 (建议并块平整),0.937,0.515,-100.0422647,22.3832238,392703.78,2475617.11
P0097,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),722.26,48.1504,481504.4,10251.2,0.058,中/碎 (建议并块平整),0.963,0.64,-101.3978548,22.2066213,252799.65,2457653.13
P0098,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),722.26,48.1504,481504.4,10886.6,0.051,中/碎 (建议并块平整),0.933,0.659,-101.244356,21.7237436,267846.27,2403933.3
P0099,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),722.26,48.1504,481504.4,6346.2,0.15,中/碎 (建议并块平整),0.964,0.467,-101.7056257,22.0381198,220722.65,2439521.8
P0100,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),720.91,48.0604,480604.4,8274.4,0.088,中/碎 (建议并块平整),0.895,0.596,-101.4929513,22.2571543,243083.77,2463408.7
P0101,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),720.91,48.0604,480604.4,7512.0,0.107,中/碎 (建议并块平整),0.536,0.561,-100.3041972,23.5400536,366873.63,2603910.8
P0102,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),720.91,48.0604,480604.4,9827.4,0.063,中/碎 (建议并块平整),0.959,0.669,-101.1101693,22.0217939,282184.2,2436743.67
P0103,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),720.91,48.0604,480604.4,14630.8,0.028,中/碎 (建议并块平整),0.974,0.629,-100.2930752,23.9692453,368441.16,2651424.73
P0104,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),720.91,48.0604,480604.4,10896.1,0.051,中/碎 (建议并块平整),0.933,0.551,-101.7885249,21.1928689,210480.84,2346041.54
P0105,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),720.91,48.0604,480604.4,5440.4,0.204,中/碎 (建议并块平整),0.97,0.648,-100.7002492,23.7776346,326752.7,2630644.57
P0106,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),719.56,47.9704,479704.4,9259.7,0.07,中/碎 (建议并块平整),0.966,0.467,-101.4550766,21.4073785,245488.03,2369225.52
P0107,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),719.56,47.9704,479704.4,9288.2,0.07,中/碎 (建议并块平整),0.938,0.673,-101.9534798,21.2631774,193488.91,2354141.37
P0108,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),719.56,47.9704,479704.4,11057.5,0.049,中/碎 (建议并块平整),0.987,0.642,-101.4898414,21.0344169,241232.23,2327975.62
P0109,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),719.56,47.9704,479704.4,7563.2,0.105,中/碎 (建议并块平整),0.927,0.505,-101.6381119,22.9978332,229571.11,2545713.46
P0110,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),719.56,47.9704,479704.4,8457.5,0.084,中/碎 (建议并块平整),0.979,0.542,-99.3169416,22.4389957,467386.55,2481453.36
P0111,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),719.56,47.9704,479704.4,7297.7,0.113,中/碎 (建议并块平整),0.902,0.536,-101.9484861,21.6655166,194847.6,2398705.6
P0112,2,冬小麦,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),718.21,47.8804,478804.4,11663.9,0.044,中/碎 (建议并块平整),0.991,0.519,-101.1747267,21.4527668,274631.95,2373822.7
P0113,1,夏玉米,全国重要农区,全国重要农作物优势聚集片区,规范规整农田区 (<10万亩),718.21,47.8804,478804.4,8693.7,0.08,中/碎 (建议并块平整),0.812,0.534,-99.9782651,22.6478594,399484.27,2504869.21
